"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2021","24","Crawford","9,615,841","9,431","455,450","9,150,960","47,483","76,915","1,033,830","9,750,556","9,660","1,139,174","202,400","158,463","21,569,441","0","3,604,045","199,062","25,372,548",
"2019","22","Clayton","8,408,520","206,187","513,750","7,688,583","1,850","50,692","1,648,453","6,726,472","40,361","550,723","298,043","289,605","17,294,782","1,800,538","0","34,636","19,129,956",
"2016","92","WASHINGTON","9,047,437","0","551,682","8,495,755","1,247","53,397","1,900,525","6,376,958","83,142","858,511","158,295","546,740","18,474,570","14,900,000","2,436,205","82,207","35,892,982",
"2015","27","DECATUR","2,514,205","0","0","2,514,205","642","40,081","334,693","4,746,443","9,608","265,267","3,089","985,880","8,899,908","60,000","556,514","59,408","9,575,830",
"2021","83","Shelby","6,735,416","0","358,930","6,376,486","79,142","53,862","927,979","6,604,970","24,342","436,279","280,303","502,010","15,285,373","0","4,268,007","100","19,553,480",
"2019","93","Wayne","3,595,478","0","0","3,595,478","212","36,556","574,062","4,331,782","11,912","501,980","174,653","91,519","9,318,154","659,807","530,159","3,601","10,511,721",
"2022","11","BUENA VISTA","11,556,050","42,425","526,884","10,986,741","1,725","44,958","1,254,376","9,125,087","146,121","1,086,707","112,616","441,059","23,199,390","0","3,090,878","56,741","26,347,009",
"2011","32","EMMET","4,225,281","99","170,271","4,054,911","5","33,045","414,993","3,087,176","9,350","297,098","28,688","298,086","8,223,352","0","852,293","1,112","9,076,757",
"2024","11","BUENA VISTA","12,494,766","32,301","0","12,462,465","2,015","58,842","1,428,826","6,959,842","170,287","877,827","1,122,350","273,195","23,355,649","1,420,209","3,490,237","2,380","28,268,475",
"2014","4","APPANOOSE","3,972,021","0","269,088","3,702,933","3,382","79,958","1,075,501","4,873,376","2,150","379,386","12,638","152,017","10,281,341","137,521","727,264","0","11,146,126",
"2024","89","VAN BUREN","3,025,086","304","103,796","2,920,986","1,468","30,279","627,144","4,533,874","34,278","268,302","343,419","616,576","9,376,326","0","1,213,549","37","10,589,912",
"2019","69","Montgomery","6,292,813","0","383,493","5,909,320","393","47,189","571,453","4,860,825","9,061","308,515","75,732","84,856","11,867,344","1,010,000","0","0","12,877,344",
"2022","26","DAVIS","4,395,725","0","0","4,395,725","259","39,612","1,334,473","4,248,171","3,935","342,680","127,000","442,934","10,934,789","0","1,144,414","0","12,079,203",
"2017","76","POCAHONTAS","6,589,770","0","324,661","6,265,109","712","25,091","430,144","4,933,342","25,564","536,269","282,204","127,231","12,625,666","0","1,090,000","0","13,715,666",
"2018","36","Fremont","5,390,460","0","302,699","5,087,761","1,143","39,228","558,258","4,029,693","14,894","319,784","123,635","125,796","10,300,192","76,745","1,384,331","98,576","11,859,844",
"2016","43","HARRISON","8,232,115","3,077","495,818","7,733,220","14,976","67,339","726,196","5,618,201","27,636","606,246","166,043","486,603","15,446,460","1,430,094","2,050,000","0","18,926,554",
"2020","55","Kossuth","9,338,907","0","511,798","8,827,109","2,848","20,086","1,620,984","7,809,428","61,700","693,749","240,993","1,766,965","21,043,862","22,725","3,143,749","17,574","24,227,910",
"2017","3","ALLAMAKEE","6,928,210","0","420,859","6,507,351","755","49,756","1,140,587","6,580,179","21,528","372,365","430,279","120,653","15,223,453","-7,282","1,743,805","12,232","16,972,208",
"2022","58","LOUISA","6,136,122","31,755","281,400","5,822,967","2,160","38,623","1,205,088","5,072,635","51,183","539,948","65,135","317,970","13,115,709","0","2,412,784","7,631","15,536,124",
"2020","77","Polk","186,270,558","2,723,551","7,361,961","176,185,046","-6,385","583,212","6,255,646","55,277,851","1,400,421","17,467,814","8,354,860","2,734,852","268,253,317","83,675,111","33,093,904","109,458","385,131,790",
"2012","81","SAC","5,423,381","6,585","885,978","4,530,818","3,249","29,044","554,041","4,750,383","17,135","940,159","52,193","218,637","11,095,659","0","1,250,669","101,550","12,447,878",
"2024","60","LYON","6,975,627","0","242,175","6,733,452","111","27,846","2,806,308","6,397,070","111,359","1,069,836","1,012,981","332,266","18,491,229","0","8,238,551","0","26,729,780",
"2018","77","Polk","162,436,919","315,951","7,232,386","154,888,582","19,063","1,131,465","5,726,777","54,684,871","1,412,582","16,532,428","5,819,127","3,244,957","243,459,852","12,483,178","24,562,657","50,000","280,555,687",
"2017","88","UNION","5,077,382","0","280,955","4,796,427","931","57,886","969,138","5,422,539","29,437","464,009","55,806","228,062","12,024,235","0","1,075,887","17,658","13,117,780",
"2014","60","LYON","5,722,783","274","261,616","5,460,893","24","25,081","1,901,988","5,014,013","65,782","927,859","142,533","271,298","13,809,471","0","2,435,549","60,438","16,305,458",
"2018","92","Washington","9,378,371","0","0","9,378,371","9,992","55,020","1,859,720","6,660,992","96,208","811,345","249,238","1,521,142","20,642,028","6,796","2,772,456","0","23,421,280",
"2020","26","Davis","4,296,233","0","0","4,296,233","1,158","28,337","705,499","4,808,280","3,702","427,360","164,102","422,894","10,857,565","0","914,086","0","11,771,651",
"2021","88","Union","5,908,981","0","293,353","5,615,628","87,210","87,145","1,046,518","5,803,084","44,323","608,383","71,362","382,168","13,745,821","0","1,052,658","22,763","14,821,242",
"2012","26","DAVIS","2,604,357","0","0","2,604,357","1,008","36,170","499,772","3,258,448","725","173,779","124,901","212,516","6,911,676","600,000","570,450","0","8,082,126",
"2016","15","CASS","6,677,733","0","452,968","6,224,765","136","42,311","1,032,724","6,125,960","25,498","361,038","167,945","365,069","14,345,446","360,000","3,271,964","0","17,977,410",
"2013","98","WORTH","4,153,998","19,182","145,825","3,988,991","178","25,891","2,472,544","3,719,126","13,865","309,400","273,319","514,301","11,317,615","2,905,375","1,136,630","10,000","15,369,620",
"2019","96","Winneshiek","9,679,420","328","628,350","9,050,742","177","50,765","1,702,171","7,867,477","39,549","868,817","301,429","1,229,469","21,110,596","2,742,101","0","6,236","23,858,933",
"2013","10","BUCHANAN","7,465,531","7,424","339,075","7,119,032","1,521","61,731","1,074,167","5,188,455","37,460","744,066","220,010","269,180","14,715,622","0","2,244,540","86,018","17,046,180",
"2011","37","GREENE","5,028,008","0","232,721","4,795,287","1,350","32,518","522,451","4,525,723","49,294","411,116","47,667","371,216","10,756,622","0","1,168,500","0","11,925,122",
"2021","25","Dallas","25,603,346","0","0","25,603,346","115,698","297,289","5,892,227","11,566,432","264,929","3,976,796","613,159","1,074,150","49,404,026","0","13,137,413","49,350","62,590,789",
"2015","69","MONTGOMERY","5,509,447","3,541","278,312","5,227,594","2,776","48,669","612,054","3,324,936","6,630","300,752","53,782","264,217","9,841,410","0","790,173","0","10,631,583",
"2020","11","Buena Vista","10,077,157","177,534","509,879","9,389,744","1,273","18,359","1,202,610","6,957,199","127,475","895,204","175,884","332,426","19,100,174","16,199","2,831,445","80,630","22,028,448",
"2024","50","JASPER","33,192,530","15,721,333","610,868","16,860,329","538","84,276","2,478,311","9,453,931","225,594","1,378,994","1,357,141","2,546,969","34,386,083","8,510,389","9,042,301","10,199","51,948,972",
"2013","3","ALLAMAKEE","5,604,780","832","236,616","5,367,332","835","58,938","885,084","3,853,182","24,104","385,929","176,545","89,376","10,841,325","0","1,467,413","6,432","12,315,170",
"2024","92","WASHINGTON","13,411,689","0","0","13,411,689","3,054","55,249","2,800,880","7,800,792","132,591","1,906,491","969,437","1,981,642","29,061,825","2,385,158","2,761,424","0","34,208,407",
"2012","29","DES MOINES","12,212,612","16,217","423,336","11,773,059","3,613","126,874","2,661,817","9,402,430","71,222","895,515","145,735","448,251","25,528,516","436,137","2,137,697","51,500","28,153,850",
"2010","4","APPANOOSE","3,647,868","25,350","208,172","3,414,346","8,394","77,254","1,095,946","4,775,786","1,287","327,410","37,978","88,097","9,826,498","152,720","501,148","0","10,480,366",
"2023","78","POTTAWATTAMIE","45,219,993","0","0","45,219,993","10,484","332,362","9,849,302","24,840,160","365,164","4,782,270","1,377,337","2,906,534","89,683,606","1,822,307","10,684,906","317,225","102,508,044",
"2022","63","MARION","14,860,953","0","797,849","14,063,104","1,874","75,609","2,186,661","10,234,605","59,041","2,278,710","83,649","342,556","29,325,809","11,000,000","3,016,449","208,433","43,550,691",
"2012","70","MUSCATINE","14,407,161","8,899","381,360","14,016,902","14,809","141,459","4,761,751","12,141,563","52,727","1,022,180","474,503","265,742","32,891,636","500,000","1,664,100","11,025","35,066,761",
"2018","60","Lyon","6,222,530","0","0","6,222,530","103","23,878","1,862,819","6,629,326","62,342","969,963","276,397","654,453","16,701,811","50,000","2,700,192","35,604","19,487,607",
"2021","14","Carroll","9,523,232","0","627,634","8,895,598","66,173","61,338","1,654,077","6,315,721","46,393","2,011,857","315,531","589,284","19,955,972","3,504,257","3,308,928","8,000","26,777,157",
"2015","11","BUENA VISTA","8,817,454","21,973","421,007","8,374,474","506","40,650","1,014,178","6,053,179","70,840","757,874","76,146","135,230","16,523,077","0","2,417,250","1,192","18,941,519",
"2014","43","HARRISON","7,870,514","8,168","414,028","7,448,318","161","50,302","697,340","4,780,268","23,984","606,401","82,312","532,514","14,221,600","0","1,860,000","0","16,081,600",
"2014","36","FREMONT","4,102,020","16,711","206,572","3,878,737","1,469","40,731","894,710","4,872,177","15,349","295,632","80,762","48,167","10,127,734","5,581,043","1,093,566","18,126","16,820,469",
"2012","44","HENRY","6,718,428","0","248,716","6,469,712","4,094","63,616","965,195","4,894,154","48,049","1,597,704","67,447","193,774","14,303,745","1,231,822","1,081,504","71,250","16,688,321",
"2010","81","SAC","4,212,424","0","209,456","4,002,968","255","29,153","509,608","4,344,445","51,165","1,322,866","51,460","23,471","10,335,391","0","1,101,809","3,640","11,440,840",
"2016","60","LYON","6,605,541","0","364,746","6,240,795","670","25,162","1,897,282","7,007,319","69,615","955,015","165,293","337,179","16,698,330","0","2,567,513","28,637","19,294,480",
"2019","32","Emmet","4,949,716","7,351","321,922","4,620,443","-206","20,767","408,807","3,475,882","11,780","341,584","182,664","371,903","9,433,624","1,046,210","0","0","10,479,834",
"2011","69","MONTGOMERY","4,307,075","0","195,234","4,111,841","549","52,077","566,970","5,477,511","6,703","289,081","71,399","146,450","10,722,581","3,576,031","1,045,508","2,118","15,346,238",
"2010","36","FREMONT","3,279,953","60,129","173,016","3,046,808","3,622","36,705","877,685","3,937,178","15,109","300,448","149,884","120,314","8,487,753","144,740","857,437","19,304","9,509,234",
"2016","65","MILLS","7,817,296","880","343,487","7,472,929","681","54,470","994,573","5,559,622","214,230","431,692","100,606","239,212","15,068,015","0","2,515,785","0","17,583,800",
"2024","28","DELAWARE","11,709,516","104","359,117","11,350,295","392","51,892","1,854,937","6,765,531","46,210","698,758","1,411,683","445,974","22,625,672","0","5,665,453","0","28,291,125",
"2014","78","POTTAWATTAMIE","34,757,605","0","0","34,757,605","-32,832","342,037","8,148,537","17,006,517","306,284","2,669,681","144,837","1,105,747","64,448,413","1,294,773","10,264,196","0","76,007,382",
