"FIPS","County","Year","Population","Primary Point"
"19055","Delaware County","July 01, 2006","17,560","POINT (-91.3673502 42.471211)"
"19093","Ida County","July 01, 2001","7,662","POINT (-95.5134962 42.3868747)"
"19169","Story County","July 01, 1995","75,899","POINT (-93.4650448 42.0362415)"
"19053","Decatur County","July 01, 2009","8,231","POINT (-93.7862815 40.7376827)"
"19029","Cass County","July 01, 2019","12,836","POINT (-94.9278266 41.3314876)"
"19047","Crawford County","July 01, 2017","17,076","POINT (-95.3819678 42.0372125)"
"19155","Pottawattamie County","July 01, 2003","88,055","POINT (-95.5423935 41.3366123)"
"19009","Audubon County","July 01, 1997","6,920","POINT (-94.9058222 41.6845893)"
"19195","Worth County","July 01, 1999","7,926","POINT (-93.2608476 43.3773984)"
"19049","Dallas County","July 01, 1992","30,578","POINT (-94.0397374 41.6848862)"
"19021","Buena Vista County","July 01, 1993","20,299","POINT (-95.151149 42.7354936)"
"19197","Wright County","July 01, 2018","12,690","POINT (-93.7351465 42.7331189)"
"19113","Linn County","July 01, 2018","225,763","POINT (-91.5989646 42.0789478)"
"19067","Floyd County","July 01, 2001","16,618","POINT (-92.7890033 43.0599208)"
"19181","Warren County","July 01, 2007","44,292","POINT (-93.5613594 41.3343735)"
"19007","Appanoose County","July 01, 2023","12,129","POINT (-92.8686104 40.7431635)"
"19179","Wapello County","July 01, 2019","34,969","POINT (-92.4094499 41.0305845)"
"19115","Louisa County","July 01, 2007","11,768","POINT (-91.2596184 41.2185073)"
"19197","Wright County","April 01, 2010","13,229","POINT (-93.7351465 42.7331189)"
"19133","Monona County","July 01, 1991","10,003","POINT (-95.9599235 42.0516663)"
"19183","Washington County","July 01, 2004","21,011","POINT (-91.7178676 41.335591)"
"19191","Winneshiek County","July 01, 2003","20,896","POINT (-91.8437074 43.2906746)"
"19163","Scott County","April 01, 2020","174,669","POINT (-90.6232428 41.6370978)"
"19067","Floyd County","July 01, 2013","16,023","POINT (-92.7890033 43.0599208)"
"19097","Jackson County","July 01, 2006","19,988","POINT (-90.5742294 42.1717426)"
"19185","Wayne County","July 01, 1994","7,043","POINT (-93.3273639 40.7394702)"
"19069","Franklin County","July 01, 1998","10,921","POINT (-93.262473 42.7325458)"
"19091","Humboldt County","July 01, 1993","10,586","POINT (-94.2071868 42.7764686)"
"19041","Clay County","July 01, 2023","16,530","POINT (-95.1509194 43.0825804)"
"19053","Decatur County","July 01, 1994","8,163","POINT (-93.7862815 40.7376827)"
"19033","Cerro Gordo County","July 01, 2012","43,699","POINT (-93.2608184 43.0815577)"
"19059","Dickinson County","July 01, 1991","14,935","POINT (-95.1508301 43.3779848)"
"19141","O'Brien County","July 01, 2013","14,045","POINT (-95.6248784 43.0837527)"
"19049","Dallas County","July 01, 2005","51,779","POINT (-94.0397374 41.6848862)"
"19165","Shelby County","July 01, 2004","12,647","POINT (-95.3102113 41.6850926)"
"19141","O'Brien County","July 01, 2002","14,681","POINT (-95.6248784 43.0837527)"
"19075","Grundy County","July 01, 2012","12,437","POINT (-92.7914177 42.4018651)"
"19151","Pocahontas County","July 01, 2007","7,614","POINT (-94.6787466 42.7341351)"
"19075","Grundy County","July 01, 2016","12,286","POINT (-92.7914177 42.4018651)"
"19097","Jackson County","July 01, 2013","19,517","POINT (-90.5742294 42.1717426)"
"19075","Grundy County","July 01, 2009","12,177","POINT (-92.7914177 42.4018651)"
"19179","Wapello County","July 01, 1991","35,733","POINT (-92.4094499 41.0305845)"
"19121","Madison County","July 01, 2006","15,196","POINT (-94.0155619 41.3307142)"
"19089","Howard County","July 01, 2001","9,869","POINT (-92.3171989 43.3567673)"
"19063","Emmet County","July 01, 2012","9,944","POINT (-94.6784803 43.3780225)"
"19021","Buena Vista County","July 01, 2008","19,491","POINT (-95.151149 42.7354936)"
"19113","Linn County","July 01, 1996","181,874","POINT (-91.5989646 42.0789478)"
"19141","O'Brien County","July 01, 2017","13,774","POINT (-95.6248784 43.0837527)"
"19055","Delaware County","July 01, 2021","17,552","POINT (-91.3673502 42.471211)"
"19145","Page County","July 01, 1998","17,374","POINT (-95.1501747 40.7391444)"
"19031","Cedar County","July 01, 2015","18,254","POINT (-91.1324125 41.7723207)"
"19011","Benton County","July 01, 1994","23,223","POINT (-92.0656912 42.0801864)"
"19019","Buchanan County","July 01, 2012","20,994","POINT (-91.8378392 42.4707777)"
"19119","Lyon County","July 01, 1999","11,863","POINT (-96.2102924 43.380497)"
"19159","Ringgold County","July 01, 2024","4,608","POINT (-94.2439719 40.7352023)"
"19063","Emmet County","July 01, 2011","10,089","POINT (-94.6784803 43.3780225)"
"19107","Keokuk County","July 01, 2024","9,855","POINT (-92.1786426 41.336465)"
"19101","Jefferson County","April 01, 2000","16,181","POINT (-91.9488774 41.0317596)"
"19139","Muscatine County","April 01, 2000","41,722","POINT (-91.1127562 41.4839221)"
"19057","Des Moines County","July 01, 2013","40,395","POINT (-91.1814707 40.9231829)"
"19097","Jackson County","July 01, 2019","19,439","POINT (-90.5742294 42.1717426)"
"19131","Mitchell County","July 01, 2013","10,669","POINT (-92.7890315 43.3564124)"
"19157","Poweshiek County","July 01, 2005","18,625","POINT (-92.5314684 41.6864422)"
"19129","Mills County","July 01, 1999","14,265","POINT (-95.6213267 41.0334523)"
"19037","Chickasaw County","July 01, 1998","13,272","POINT (-92.3176637 43.0600414)"
"19173","Taylor County","July 01, 2021","5,868","POINT (-94.6964148 40.7374324)"
"19085","Harrison County","July 01, 1994","14,895","POINT (-95.8169209 41.6828528)"
"19097","Jackson County","July 01, 2012","19,685","POINT (-90.5742294 42.1717426)"
"19145","Page County","July 01, 2003","16,166","POINT (-95.1501747 40.7391444)"
"19139","Muscatine County","July 01, 2016","42,968","POINT (-91.1127562 41.4839221)"
"19187","Webster County","July 01, 1996","39,698","POINT (-94.1817881 42.4279662)"
"19183","Washington County","April 01, 2010","21,704","POINT (-91.7178676 41.335591)"
"19169","Story County","July 01, 2016","96,893","POINT (-93.4650448 42.0362415)"
"19007","Appanoose County","July 01, 2018","12,401","POINT (-92.8686104 40.7431635)"
"19173","Taylor County","July 01, 2004","6,677","POINT (-94.6964148 40.7374324)"
"19041","Clay County","July 01, 2018","16,106","POINT (-95.1509194 43.0825804)"
"19181","Warren County","July 01, 1997","39,180","POINT (-93.5613594 41.3343735)"
"19077","Guthrie County","July 01, 2001","11,220","POINT (-94.501055 41.6837548)"
"19073","Greene County","July 01, 2019","8,888","POINT (-94.3968356 42.0362394)"
"19111","Lee County","July 01, 1998","38,720","POINT (-91.479264 40.6419764)"
"19139","Muscatine County","July 01, 2021","42,693","POINT (-91.1127562 41.4839221)"
"19037","Chickasaw County","April 01, 2010","12,439","POINT (-92.3176637 43.0600414)"
"19127","Marshall County","July 01, 2006","38,877","POINT (-92.9987706 42.0358499)"
"19035","Cherokee County","July 01, 2016","11,394","POINT (-95.6238055 42.7356226)"
"19159","Ringgold County","April 01, 2000","5,469","POINT (-94.2439719 40.7352023)"
"19165","Shelby County","July 01, 1996","13,232","POINT (-95.3102113 41.6850926)"
"19135","Monroe County","July 01, 2014","7,958","POINT (-92.8689877 41.0297826)"
"19133","Monona County","July 01, 1996","10,059","POINT (-95.9599235 42.0516663)"
"19059","Dickinson County","July 01, 1998","16,076","POINT (-95.1508301 43.3779848)"
"19125","Marion County","July 01, 2003","32,277","POINT (-93.0994367 41.3344515)"
"19069","Franklin County","July 01, 2009","10,540","POINT (-93.262473 42.7325458)"
"19069","Franklin County","July 01, 2017","10,160","POINT (-93.262473 42.7325458)"
"19097","Jackson County","July 01, 1991","19,909","POINT (-90.5742294 42.1717426)"
"19081","Hancock County","July 01, 2003","11,771","POINT (-93.7342723 43.0818861)"
"19037","Chickasaw County","July 01, 2021","11,882","POINT (-92.3176637 43.0600414)"
"19139","Muscatine County","July 01, 1995","41,246","POINT (-91.1127562 41.4839221)"
"19041","Clay County","July 01, 2016","16,295","POINT (-95.1509194 43.0825804)"
"19173","Taylor County","July 01, 1991","7,103","POINT (-94.6964148 40.7374324)"
"19097","Jackson County","July 01, 1993","20,106","POINT (-90.5742294 42.1717426)"
"19051","Davis County","July 01, 2007","8,575","POINT (-92.4097173 40.7476891)"
"19177","Van Buren County","July 01, 2011","7,513","POINT (-91.9499871 40.7532294)"
"19191","Winneshiek County","July 01, 2012","21,041","POINT (-91.8437074 43.2906746)"
"19191","Winneshiek County","July 01, 2011","21,051","POINT (-91.8437074 43.2906746)"
"19013","Black Hawk County","July 01, 2013","132,933","POINT (-92.3088197 42.4700957)"
"19027","Carroll County","July 01, 2014","20,499","POINT (-94.8605593 42.0362382)"
"19031","Cedar County","July 01, 2009","18,006","POINT (-91.1324125 41.7723207)"
"19147","Palo Alto County","July 01, 2006","9,438","POINT (-94.6781371 43.0820643)"
"19135","Monroe County","July 01, 1991","8,130","POINT (-92.8689877 41.0297826)"
"19089","Howard County","July 01, 2006","9,510","POINT (-92.3171989 43.3567673)"
"19039","Clarke County","July 01, 2011","9,317","POINT (-93.7851579 41.0290323)"
"19075","Grundy County","July 01, 1998","12,335","POINT (-92.7914177 42.4018651)"
"19167","Sioux County","July 01, 2004","31,866","POINT (-96.1778827 43.0826174)"
"19167","Sioux County","July 01, 2018","34,802","POINT (-96.1778827 43.0826174)"
"19163","Scott County","July 01, 2009","166,650","POINT (-90.6232428 41.6370978)"
"19163","Scott County","July 01, 2018","172,803","POINT (-90.6232428 41.6370978)"
"19027","Carroll County","July 01, 2013","20,541","POINT (-94.8605593 42.0362382)"
"19005","Allamakee County","April 01, 1990","13,855","POINT (-91.3780923 43.2842838)"
"19147","Palo Alto County","July 01, 2012","9,279","POINT (-94.6781371 43.0820643)"
"19191","Winneshiek County","July 01, 1993","21,051","POINT (-91.8437074 43.2906746)"
"19113","Linn County","July 01, 2011","214,207","POINT (-91.5989646 42.0789478)"
"19061","Dubuque County","July 01, 2014","96,481","POINT (-90.8824564 42.468832)"
"19159","Ringgold County","July 01, 2015","4,977","POINT (-94.2439719 40.7352023)"
"19031","Cedar County","July 01, 1994","17,551","POINT (-91.1324125 41.7723207)"
