"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2010","33","FAYETTE","2,868,782","459,273","2,409,415","1,330,687","5,132,925","563,218","1,046,676","18,143","1,698,290","757,134","16,284,543","1,746,216","0","18,030,759",
"2010","35","FRANKLIN","1,334,408","1,723,535","1,027,297","594,916","4,565,968","414,651","1,698,682","0","1,328,880","530,751","13,219,088","1,662,284","0","14,881,372",
"2022","86","TAMA","4,647,019","2,016,797","567,097","853,785","7,234,604","631,273","2,242,621","48,168","930,085","1,572,545","20,743,994","2,815,904","0","23,559,898",
"2011","50","JASPER","4,708,465","1,762,649","3,493,689","1,320,539","5,930,388","848,705","2,767,632","8,156","1,828,698","416,491","23,085,412","4,264,120","0","27,349,532",
"2012","67","MONONA","1,633,200","600,590","1,028,629","692,990","5,036,347","382,851","1,294,965","0","49,040","733,200","11,451,812","1,197,623","0","12,649,435",
"2010","46","HUMBOLDT","1,521,567","341,368","1,125,867","561,041","2,690,293","378,411","933,984","0","0","728,161","8,280,692","1,189,159","0","9,469,851",
"2018","65","MILLS","3,448,742","2,118,574","441,846","1,314,407","4,951,952","535,830","1,821,183","0","1,079,267","710,543","16,422,344","2,491,271","0","18,913,615",
"2011","63","MARION","3,141,481","2,507,106","2,247,411","1,476,748","6,673,032","623,520","2,099,686","0","549,444","1,262,228","20,580,656","1,961,011","0","22,541,667",
"2017","53","JONES","2,689,689","718,514","1,159,909","977,881","6,810,165","674,896","1,714,323","90,775","400,000","469,151","15,705,303","2,472,377","0","18,177,680",
"2012","82","SCOTT","26,757,076","5,395,364","17,466,386","4,663,469","5,111,168","2,210,614","9,203,859","0","4,369,070","2,190,781","77,367,787","9,936,539","0","87,304,326",
"2010","65","MILLS","2,165,994","1,533,639","1,298,261","639,753","4,754,089","447,353","1,237,301","0","0","4,185","12,080,575","1,515,000","0","13,595,575",
"2023","15","CASS","3,137,200","516,094","0","683,393","6,347,916","525,089","2,275,396","86,376","832,626","2,265,493","16,669,583","4,853,671","0","21,523,254",
"2015","79","POWESHIEK","2,821,081","318,517","1,076,622","491,256","5,019,265","680,811","1,262,855","148,211","750,295","639,976","13,208,889","2,975,652","0","16,184,541",
"2011","82","SCOTT","26,494,924","6,511,764","15,221,435","4,515,107","4,540,049","2,022,332","9,094,998","0","4,355,660","7,748,372","80,504,641","8,433,583","0","88,938,224",
"2016","96","WINNESHIEK","2,779,632","1,338,966","834,017","1,817,449","7,482,356","540,694","2,842,532","4,087","0","1,637,549","19,277,282","2,397,285","0","21,674,567",
"2012","99","WRIGHT","1,877,013","3,209,509","1,763,932","911,196","4,099,996","470,643","1,235,705","21,182","391,466","2,384,074","16,364,716","1,711,164","0","18,075,880",
"2010","18","CHEROKEE","1,544,598","319,055","1,198,136","602,419","3,651,632","281,700","1,192,171","0","0","1,262,107","10,051,818","1,371,000","0","11,422,818",
"2014","49","JACKSON","2,035,680","275,463","1,019,161","1,590,294","4,957,146","605,520","1,503,583","0","0","436,733","12,423,580","975,850","0","13,399,430",
"2023","88","UNION","2,294,872","524,933","0","1,308,887","3,973,942","560,843","1,667,813","40,000","2,045,734","434,452","12,851,476","907,244","0","13,758,720",
"2011","51","JEFFERSON","2,636,521","711,320","1,026,053","794,869","2,979,694","458,670","858,518","111,048","195,672","466,681","10,239,046","1,003,958","0","11,243,004",
"2013","79","POWESHIEK","2,731,159","287,682","956,992","462,014","5,403,629","675,325","1,075,331","228,832","603,308","163,176","12,587,448","3,217,413","0","15,804,861",
"2017","41","HANCOCK","1,812,159","289,932","387,404","558,413","5,349,359","483,994","1,060,245","18,118","0","623,150","10,582,774","2,105,483","0","12,688,257",
"2016","8","BOONE","3,496,382","596,411","346,931","1,030,404","6,121,354","521,221","1,781,067","67,742","740,165","789,920","15,491,597","3,295,589","0","18,787,186",
"2015","90","WAPELLO","3,816,719","1,175,283","1,732,128","813,040","4,141,246","639,378","2,878,445","120,573","789,540","2,546,572","18,652,924","1,832,250","0","20,485,174",
"2021","66","MITCHELL","2,015,523","1,138,513","317,122","2,456,277","4,761,605","441,387","2,412,802","0","4,525,169","562,498","18,630,896","2,706,221","0","21,337,117",
"2018","28","DELAWARE","2,769,383","360,467","1,115,779","1,008,787","5,414,258","675,973","1,628,034","12,227","543,890","1,835,703","15,364,501","2,550,011","0","17,914,512",
"2015","68","MONROE","1,368,602","717,929","315,868","408,984","2,821,176","390,782","971,124","0","1,218,894","680,341","8,893,700","885,109","0","9,778,809",
"2019","14","CARROLL","3,927,608","1,013,353","557,473","1,204,196","6,341,956","636,591","1,779,415","55,786","14,717","700,212","16,231,307","3,112,024","0","19,343,331",
"2019","85","STORY","13,072,030","2,367,987","2,092,075","4,210,838","7,030,659","1,245,158","6,421,574","54,718","1,619,934","4,078,210","42,193,183","3,093,350","0","45,286,533",
"2011","78","POTTAWATTAMIE","19,503,449","3,061,863","9,159,450","5,551,058","10,520,270","1,683,075","6,068,066","0","3,889,094","3,326,741","62,763,066","6,529,259","0","69,292,325",
"2014","28","DELAWARE","2,328,309","520,803","1,743,270","878,292","5,734,975","699,124","1,397,658","29,998","116,075","1,810,116","15,258,620","2,114,145","0","17,372,765",
"2020","18","CHEROKEE","2,279,677","307,508","439,642","1,104,074","5,814,058","514,826","1,335,680","256,015","0","88,945","12,140,425","2,161,170","0","14,301,595",
"2017","2","ADAMS","1,217,512","148,899","153,310","703,400","3,510,456","294,261","812,920","39,656","927,319","578,737","8,386,470","1,125,785","0","9,512,255",
"2011","93","WAYNE","1,016,902","838,665","661,360","284,449","2,774,724","204,039","658,287","31,091","290,019","315,269","7,074,805","857,361","0","8,094,547",
"2014","7","BLACK HAWK","18,666,500","7,286,924","6,531,467","4,731,111","5,473,765","1,764,463","5,132,570","0","5,686,247","3,929,901","59,202,948","9,686,435","0","68,889,383",
"2017","40","HAMILTON","3,043,464","1,591,815","1,051,460","1,390,072","5,339,530","495,253","1,539,994","0","2,741,365","2,349,470","19,542,423","3,079,133","13,615,000","36,236,556",
"2010","23","CLINTON","6,385,075","1,479,860","7,423,695","1,734,405","4,571,823","1,115,212","3,128,724","69,949","892,958","2,908,703","29,710,404","1,149,025","0","30,859,429",
"2024","4","APPANOOSE","3,112,945","474,554","0","1,185,454","4,824,084","606,297","1,467,190","0","651,930","837,083","13,159,537","933,436","0","14,092,973",
"2010","45","HOWARD","1,140,290","400,748","1,106,475","1,593,916","3,928,750","298,369","836,308","465","104,663","276,148","9,686,132","1,100,041","0","10,786,173",
"2018","52","JOHNSON","23,533,955","10,085,322","5,723,214","4,987,436","9,686,026","2,383,659","8,339,680","3,748","7,898,457","15,377,635","88,019,132","30,059,465","0","118,078,597",
"2021","37","GREENE","2,753,320","516,398","270,223","1,536,455","5,987,842","373,906","2,132,401","51,411","149,735","1,444,700","15,216,391","1,890,690","0","17,107,081",
"2017","80","RINGGOLD","1,220,686","873,895","542,431","573,705","4,125,544","269,251","858,922","0","486,580","19,399","8,970,413","736,419","0","9,706,832",
"2012","89","VAN BUREN","1,105,993","1,053,251","550,546","633,139","2,633,691","301,407","523,932","0","0","672,205","7,474,164","628,652","0","8,102,816",
"2024","3","ALLAMAKEE","3,217,357","736,770","0","1,420,396","6,866,415","681,856","1,492,505","15,757","379,814","247,014","15,057,884","2,065,187","0","17,123,071",
"2017","51","JEFFERSON","3,029,692","826,904","632,539","661,109","4,224,289","472,939","1,498,290","7,415","349,508","2,368,489","14,071,174","1,224,281","0","15,295,455",
"2018","84","SIOUX","4,248,587","769,729","945,252","1,644,970","5,654,305","1,018,734","2,357,675","227,570","1,250,525","642,501","18,759,848","2,684,550","0","21,444,398",
"2018","35","FRANKLIN","1,700,387","1,847,483","354,531","1,569,317","4,861,986","477,007","1,874,135","1,567,546","2,320,573","1,334,567","17,907,532","2,341,040","0","20,248,572",
"2015","83","SHELBY","2,581,035","503,750","1,012,607","404,108","4,847,764","411,494","1,196,637","12,797","100","567,256","11,537,548","3,593,701","0","15,131,249",
"2017","19","CHICKASAW","2,042,406","1,408,162","743,804","679,005","6,002,644","421,204","1,455,259","4,200","0","378,560","13,135,244","2,069,500","0","15,204,744",
"2015","85","STORY","10,443,921","2,238,842","8,848,300","3,497,417","5,553,426","1,091,939","4,681,531","0","1,174,336","2,329,624","39,859,336","2,624,171","0","42,483,507",
"2012","94","WEBSTER","5,104,872","2,492,385","5,427,270","1,167,275","6,525,029","767,275","2,514,844","95,435","1,038,523","7,189,990","32,322,898","3,090,596","0","35,413,494",
"2019","68","MONROE","1,816,702","668,859","877,878","426,751","3,241,687","424,003","1,204,176","0","593,672","380,095","9,633,823","1,412,578","0","11,046,401",
"2024","18","CHEROKEE","2,936,192","892,454","0","1,205,937","6,238,657","675,964","1,952,649","0","0","1,193,418","15,095,271","2,050,000","0","17,145,271",
"2010","60","LYON","2,577,836","778,592","1,030,842","722,519","3,727,988","416,108","880,097","28,097","279,673","162,667","10,604,419","1,200,867","1,525,000","13,330,286",
"2011","20","CLARKE","1,507,839","977,835","984,850","235,905","2,243,574","378,657","867,086","0","195,814","793,598","8,185,158","800,000","0","8,985,158",
"2021","36","FREMONT","2,999,201","214,841","174,825","733,088","4,721,604","462,673","1,691,710","0","702,564","413,352","12,113,858","1,356,480","0","13,470,338",
"2012","84","SIOUX","3,906,732","1,251,782","2,554,834","1,190,753","5,604,262","816,120","1,914,778","37,170","883,896","1,783,477","19,943,804","2,406,914","0","22,350,718",
"2012","7","BLACK HAWK","17,484,855","7,654,874","9,246,928","4,121,495","6,297,386","1,562,243","5,092,557","0","6,437,088","12,138,519","70,035,945","2,519,977","0","72,555,922",
"2022","69","MONTGOMERY","3,425,393","481,908","245,520","411,492","4,030,680","408,686","1,796,369","0","1,091,763","60,793","11,952,604","1,081,214","0","13,033,818",
"2022","39","GUTHRIE","2,473,423","1,954,673","317,354","1,704,997","6,662,295","451,085","1,922,144","22,602","1,639,680","4,866,425","22,014,678","2,824,267","0","24,838,945",
"2015","51","JEFFERSON","2,766,197","802,665","488,824","650,520","3,567,442","515,498","1,062,606","9,663","253,450","67,511","10,184,376","1,214,448","0","11,398,824",
"2012","62","MAHASKA","2,892,304","606,794","3,006,027","847,406","5,220,352","555,905","1,171,249","1,053,190","8,490","217,237","15,578,954","1,767,856","0","17,346,810",
"2010","28","DELAWARE","1,814,214","536,002","2,721,140","863,224","3,817,167","579,992","1,125,054","29,819","72,276","1,093,012","12,651,900","1,789,702","0","14,441,602",
"2014","18","CHEROKEE","2,074,715","298,695","586,182","940,680","3,741,647","540,468","1,164,152","0","0","1,470,479","10,817,018","1,485,000","0","12,302,018",
"2016","48","IOWA","4,368,065","1,104,754","575,011","1,011,839","5,952,201","708,265","1,450,311","49,574","2,354,276","220,535","17,794,831","1,321,419","0","19,116,250",
"2024","43","HARRISON","4,252,390","2,028,493","0","1,361,576","9,144,324","761,034","1,716,220","0","634,945","2,978,677","22,877,659","3,520,584","0","26,398,243",
"2010","72","OSCEOLA","1,021,834","295,193","668,312","409,816","2,261,334","234,360","673,824","0","376,862","227,488","6,169,023","1,341,057","0","7,510,080",
"2013","95","WINNEBAGO","1,598,393","1,081,324","852,343","646,918","3,223,748","484,857","951,229","139,285","1,079,356","3,432,261","13,489,714","1,497,187","0","14,986,901",
"2021","51","JEFFERSON","3,687,237","762,628","822,800","696,587","4,234,475","602,214","1,498,090","0","855,329","3,081,006","16,240,366","1,355,632","0","17,595,998",
"2010","13","CALHOUN","1,767,381","2,482,838","1,074,177","590,324","4,035,729","455,323","944,998","4,835","0","230,291","11,585,896","1,298,960","0","12,884,856",
"2014","50","JASPER","5,204,064","1,827,066","1,047,698","1,351,463","5,945,041","957,908","2,923,547","42,394","2,130,053","1,080,414","22,509,648","5,938,481","0","28,448,129",
"2019","46","HUMBOLDT","2,237,047","272,266","475,566","776,159","3,504,675","437,416","1,243,933","28,853","127,807","476,209","9,579,931","1,946,980","0","11,526,911",
"2013","86","TAMA","3,370,375","1,378,006","1,483,739","747,357","7,764,851","471,667","1,196,470","2,002","0","630,914","17,045,381","2,177,946","0","19,223,327",
"2010","55","KOSSUTH","2,306,877","431,789","2,040,796","827,502","5,667,198","652,511","1,547,002","68,325","106,883","1,639,490","15,288,373","2,847,556","0","18,135,929",
"2015","78","POTTAWATTAMIE","26,233,520","5,145,261","9,653,727","5,640,695","11,556,752","2,055,761","6,402,523","0","8,986,381","5,628,528","81,303,148","11,972,742","0","93,275,890",
"2013","17","CERRO GORDO","7,574,912","4,850,775","2,317,383","1,106,735","4,423,431","1,051,946","2,580,213","0","992,257","1,850,331","26,747,983","5,327,612","0","32,075,595",
"2022","84","SIOUX","5,060,778","1,125,439","1,254,582","1,900,799","7,382,360","1,269,848","2,771,488","30,733","1,257,175","2,311,493","24,364,695","4,435,366","0","28,800,061",
"2023","85","STORY","15,585,033","3,179,475","0","5,712,562","7,881,171","1,932,384","7,827,772","904,027","2,294,390","1,596,285","46,913,099","3,785,000","0","50,698,099",
"2023","26","DAVIS","1,922,872","356,072","0","895,657","5,841,185","487,727","2,607,403","56,783","418,845","440,266","13,026,810","1,172,909","0","14,199,719",
"2016","18","CHEROKEE","2,013,835","331,728","538,883","950,713","3,995,055","437,437","1,172,148","18,519","0","2,148,546","11,606,864","2,674,868","0","14,281,732",
"2017","95","WINNEBAGO","1,984,683","1,426,631","811,965","779,890","3,639,311","530,130","1,675,197","0","3,246,273","5,848,568","19,942,648","1,772,943","0","21,715,591",
"2011","46","HUMBOLDT","1,708,763","355,919","1,147,043","811,415","3,381,967","382,617","952,469","0","0","483,398","9,223,591","1,386,914","0","10,610,505",
"2017","21","CLAY","2,957,840","639,898","446,411","1,385,258","5,149,336","453,254","1,829,868","438,977","523,667","3,062,461","16,886,970","2,488,571","0","19,375,541",
"2015","4","APPANOOSE","2,118,266","909,951","790,799","654,578","3,298,261","457,472","922,028","0","192,817","155,767","9,499,939","716,957","0","10,216,896",
"2020","69","MONTGOMERY","3,203,546","490,034","245,802","390,815","3,973,795","406,746","1,152,535","0","1,259,937","4,112,815","15,236,025","1,080,000","0","16,316,025",
"2021","19","CHICKASAW","2,409,547","1,403,710","359,452","629,522","6,053,765","445,902","1,568,147","6,398","515,885","3,338,702","16,731,030","1,888,863","0","18,619,893",
"2022","52","JOHNSON","28,600,869","14,333,619","5,982,176","6,630,610","10,138,487","2,859,215","10,694,567","82,318","21,787,626","13,115,961","114,225,448","31,585,863","0","145,811,311",
"2023","46","HUMBOLDT","3,172,786","377,432","0","827,265","4,733,818","535,190","2,042,372","3,506","341,609","541,297","12,575,275","1,928,652","0","14,503,927",
"2010","50","JASPER","4,465,663","1,782,277","3,403,261","1,227,491","5,769,586","938,592","2,608,385","7,279","1,833,025","34,131","22,069,690","4,442,569","0","26,512,259",
"2014","71","OBRIEN","3,019,950","407,255","1,003,728","905,172","4,012,927","634,129","1,264,651","6,676","736,770","1,194,141","13,185,399","2,119,648","0","15,305,047",
"2021","4","APPANOOSE","2,760,525","443,495","529,298","614,775","3,972,042","587,219","1,003,830","0","100,775","1,443,229","11,455,188","801,080","0","12,256,268",
"2013","39","GUTHRIE","1,152,761","1,179,661","781,852","1,024,994","4,865,131","352,084","965,132","14,533","31,824","78,226","10,446,198","1,424,715","0","11,870,913",
"2021","2","ADAMS","1,756,873","228,403","73,999","1,124,964","4,419,467","379,554","835,953","0","873,418","1,121,547","10,814,178","1,167,089","0","11,981,267",
"2012","39","GUTHRIE","1,043,452","1,152,680","1,067,399","1,081,855","4,585,880","335,332","893,967","0","466,899","251,293","10,878,757","1,375,135","0","12,253,892",
"2019","29","DES MOINES","7,478,221","1,638,595","1,842,040","1,945,538","5,384,436","1,008,481","3,020,026","0","3,590,846","1,835,673","27,743,856","2,357,638","0","30,101,494",
"2018","13","CALHOUN","2,542,901","1,335,698","457,688","763,937","5,120,116","501,536","1,199,812","1,322,676","0","1,181,201","14,425,565","1,455,498","0","15,881,063",
"2011","83","SHELBY","1,806,730","512,002","2,438,775","400,038","4,744,334","399,130","1,041,380","2,270","129,629","1,326,919","12,801,207","3,065,207","0","15,866,414",
"2022","71","OBRIEN","3,972,776","530,704","367,093","1,121,092","4,553,564","709,980","1,463,686","7,828","0","1,753,663","14,480,386","4,149,959","0","18,630,345",
"2017","12","BUTLER","2,175,309","1,364,124","557,732","861,102","5,593,268","585,499","1,645,753","1,396","590,740","1,706,915","15,081,838","2,311,187","0","17,393,025",
"2024","79","POWESHIEK","4,003,160","361,353","0","697,875","9,359,602","867,464","1,848,102","160,794","1,264,247","2,097,355","20,659,952","4,708,857","0","25,368,809",
"2019","57","LINN","30,485,932","16,466,692","10,166,970","7,808,180","14,360,818","4,813,402","16,734,571","0","4,066,187","19,292,342","124,195,094","28,847,107","0","153,042,201",
"2022","37","GREENE","3,166,443","576,327","186,974","945,161","6,074,597","402,806","2,163,386","49,038","339,735","713,411","14,617,878","1,931,619","0","16,549,497",
"2023","70","MUSCATINE","13,674,783","1,505,525","0","1,587,629","8,402,220","966,943","3,989,225","0","3,378,544","2,547,687","36,052,556","8,459,296","0","44,511,852",
"2013","54","KEOKUK","1,062,612","538,917","457,172","352,895","5,061,188","329,138","1,807,326","0","0","304,243","9,913,491","1,271,500","0","11,184,991",
"2015","46","HUMBOLDT","1,774,228","345,582","814,315","760,148","2,967,587","374,918","1,244,405","0","0","672,800","8,953,983","1,735,152","0","10,689,135",
"2010","87","TAYLOR","789,241","882,856","471,819","269,782","2,875,168","272,125","581,863","0","200,911","18,141","6,361,906","662,281","0","7,024,187",
"2011","61","MADISON","2,387,765","687,715","1,256,812","637,697","4,262,819","438,054","904,796","0","113,182","503,962","11,192,802","1,379,200","0","12,572,002",
"2016","79","POWESHIEK","2,977,943","281,752","479,277","515,396","5,303,067","650,199","1,345,065","109,439","746,610","543,896","12,952,644","2,816,801","0","15,769,445",
"2017","72","OSCEOLA","1,492,648","212,997","204,754","589,845","3,481,743","272,065","902,916","87,869","462,606","93,625","7,801,068","2,020,468","0","9,821,536",
"2019","89","VAN BUREN","1,326,462","537,860","221,677","381,600","4,806,910","277,537","769,996","0","0","1,142,795","9,464,837","840,148","0","10,304,985",
"2016","11","BUENA VISTA","3,569,307","1,162,789","1,038,630","780,552","4,479,563","767,926","1,757,819","33,624","962,622","2,216,195","16,769,027","2,450,808","0","19,219,835",
"2022","7","BLACK HAWK","21,482,484","7,070,764","3,793,546","2,753,137","6,782,597","2,336,018","6,282,501","0","6,109,202","7,254,107","63,864,356","15,159,394","0","79,023,750",
"2011","89","VAN BUREN","1,076,445","618,294","468,470","374,050","3,201,472","295,225","543,905","449","0","333,459","6,911,769","592,453","0","7,504,222",
"2022","22","CLAYTON","3,468,327","580,205","415,341","1,332,796","7,205,920","726,775","2,064,827","0","92,248","305,825","16,192,264","2,000,000","0","18,192,264",
"2019","10","BUCHANAN","3,801,692","585,365","852,541","1,151,089","6,441,133","725,773","2,163,930","60,323","541,844","463,610","16,787,300","3,062,328","0","19,849,628",
"2014","11","BUENA VISTA","3,291,387","1,152,903","787,860","718,720","4,462,164","740,984","1,676,497","5,092","970,625","1,714,176","15,520,408","2,340,421","0","17,860,829",
"2011","74","PALO ALTO","1,570,857","299,472","1,175,813","1,368,793","3,703,719","362,091","1,102,148","0","1,234,716","3,710,428","14,528,037","1,226,782","0","15,754,819",
"2018","40","HAMILTON","3,174,809","1,614,475","1,066,150","1,417,070","5,268,895","525,058","1,506,442","1,540,391","3,746,715","2,736,602","22,596,607","1,922,388","0","24,518,995",
"2011","15","CASS","1,812,195","481,566","1,871,100","425,036","4,173,916","412,416","1,067,512","955,872","51,584","823,574","12,074,771","1,918,821","0","13,993,592",
"2016","88","UNION","1,622,593","468,900","1,085,716","3,644,867","3,611,410","472,417","968,744","0","1,451,676","433,218","13,759,541","977,756","0","14,737,297",
"2024","23","CLINTON","11,625,403","2,198,126","0","2,811,857","9,208,414","1,319,548","5,814,966","396,997","2,531,850","3,780,166","39,687,327","2,456,200","0","42,143,527",
"2022","95","WINNEBAGO","2,698,886","1,363,532","521,430","892,013","4,375,966","669,123","1,374,264","9,435","2,429,573","554,218","14,888,440","3,197,080","0","18,085,520",
"2012","22","CLAYTON","2,539,192","790,240","2,214,086","1,209,522","5,572,802","610,735","1,380,060","2,198","271,322","1,493,854","16,084,011","1,400,000","0","17,484,011",
"2012","77","POLK","64,726,796","36,066,369","58,075,965","12,479,717","10,569,008","6,961,088","30,964,389","0","12,964,857","12,201,654","245,009,843","12,761,492","0","257,771,335",
"2017","92","WASHINGTON","4,409,571","2,207,036","464,864","1,094,159","5,608,553","631,665","1,744,753","127,481","6,077,520","1,066,531","23,432,133","2,672,430","0","26,104,563",
"2021","29","DES MOINES","7,709,323","1,456,646","1,777,334","1,325,856","5,651,954","1,132,888","3,024,467","0","4,706,071","4,696,743","31,481,282","2,537,638","0","34,018,920",
"2020","22","CLAYTON","3,087,440","453,537","626,231","1,303,285","6,812,739","644,944","1,678,261","0","347,853","371,095","15,325,385","1,750,000","0","17,075,385",
"2014","24","CRAWFORD","1,871,513","2,432,477","624,219","938,674","6,512,525","541,738","1,180,464","0","243,155","243,680","14,588,445","2,734,502","0","17,322,947",
"2010","82","SCOTT","19,942,388","6,595,223","14,492,698","4,197,866","4,604,130","2,052,706","8,342,658","0","3,719,405","9,072,467","73,019,541","8,007,463","2,745,000","83,772,004",
"2020","59","LUCAS","1,127,798","505,306","414,309","411,176","3,706,769","360,483","1,156,905","0","0","806,951","8,489,697","751,530","0","9,241,227",
"2017","44","HENRY","3,450,897","950,979","690,929","1,140,101","4,768,270","632,006","1,530,085","62,135","233,801","1,201,557","14,660,760","1,495,655","0","16,156,415",
"2023","63","MARION","5,639,597","2,771,024","0","2,087,165","8,884,166","849,687","4,576,307","0","1,025,574","3,404,961","29,238,481","3,008,110","0","32,246,591",
"2013","81","SAC","2,188,801","602,283","1,336,195","744,855","4,209,452","388,360","1,221,669","0","47,970","305,984","11,045,569","1,319,396","0","12,364,965",
"2020","1","ADAIR","1,769,193","271,884","258,796","546,130","6,081,097","451,055","983,009","0","2,291,666","7,846,716","20,499,546","1,322,396","0","21,821,942",
"2020","7","BLACK HAWK","21,921,882","6,431,569","5,308,719","3,844,724","7,340,172","2,313,591","5,644,077","0","7,497,701","2,390,136","62,692,571","10,673,867","0","73,366,438",
"2012","33","FAYETTE","2,875,808","435,203","2,693,204","1,414,430","5,066,465","530,752","1,117,715","25,685","352,148","720,649","15,232,059","1,702,282","0","16,934,341",
"2013","66","MITCHELL","1,425,997","1,748,469","753,545","1,060,748","3,331,002","309,713","2,332,995","0","1,448,391","1,870,947","14,281,807","1,492,118","0","15,773,925",
"2014","56","LEE","4,425,285","4,222,471","1,714,601","1,342,100","5,323,297","915,813","1,979,813","11,667","893,244","592,822","21,421,113","1,589,525","0","23,010,638",
"2010","77","POLK","60,559,403","37,281,865","52,073,559","12,553,195","10,223,201","6,583,590","29,687,259","0","13,835,036","13,382,154","236,179,262","11,154,021","0","247,333,283",
"2015","73","PAGE","1,796,656","476,753","1,346,441","348,581","3,689,495","467,387","1,048,959","1,111","191,548","175","9,367,106","1,285,605","0","10,652,711",
"2010","8","BOONE","2,849,078","741,116","2,370,740","889,780","5,370,544","539,636","1,639,944","0","4,294,487","1,295,034","19,990,359","2,024,871","0","22,015,230",
"2021","56","LEE","8,089,655","4,356,814","1,437,469","1,980,652","6,247,511","1,332,093","2,467,570","29,432","4,062,265","2,086,084","32,089,545","2,560,641","0","34,650,186",
"2012","48","IOWA","2,843,234","990,810","1,667,215","837,161","5,975,092","534,314","1,359,701","125,622","1,413,358","296,537","16,043,044","1,223,638","0","17,266,682",
"2017","45","HOWARD","1,623,893","352,150","567,701","2,022,806","4,918,784","366,089","1,070,160","0","1,567,692","367,388","12,856,663","1,940,244","0","14,796,907",
"2013","22","CLAYTON","2,600,887","673,202","1,328,088","1,316,351","6,598,107","657,324","1,319,116","0","324,274","2,946,692","17,764,041","1,453,683","0","19,217,724",
"2015","15","CASS","2,397,868","508,821","1,684,914","438,855","4,321,093","496,922","1,346,757","2,590,235","501,882","874,434","15,161,781","2,523,101","0","17,684,882",
"2018","89","VAN BUREN","1,287,912","540,901","249,569","368,106","3,504,493","288,712","765,604","43,197","0","159,724","7,208,218","729,533","0","7,937,751",
"2010","40","HAMILTON","2,466,422","2,008,922","1,903,126","1,189,508","4,186,826","409,142","1,165,009","0","1,315,110","1,796,741","16,440,806","2,517,859","0","18,958,665",
"2016","56","LEE","4,913,235","4,482,626","1,171,231","1,528,846","5,631,533","1,085,287","2,167,497","160,652","996,738","8,630,854","30,768,499","1,710,982","6,043,147","38,522,628",
"2020","54","KEOKUK","1,131,365","645,932","344,478","391,908","7,360,737","372,233","1,710,226","0","201,395","805,190","12,963,464","2,087,395","0","15,050,859",
"2014","39","GUTHRIE","1,181,768","1,286,917","266,177","1,133,321","4,939,758","379,375","904,498","26,704","0","1,296,525","11,415,043","1,477,649","0","12,892,692",
"2010","99","WRIGHT","1,698,519","3,148,094","1,344,749","867,087","3,501,047","433,188","1,072,126","20,577","802,382","1,075,422","13,963,191","1,713,087","0","15,676,278",
"2016","23","CLINTON","7,166,147","1,486,120","3,891,802","1,754,017","6,124,185","1,045,020","3,685,639","14,607","1,371,385","967,362","27,506,284","1,988,306","0","29,494,590",
"2013","7","BLACK HAWK","17,607,745","7,869,191","5,562,162","7,402,999","6,172,650","1,705,477","4,845,504","0","6,070,245","5,610,058","62,846,031","2,995,197","0","65,841,228",
"2021","34","FLOYD","3,377,383","1,308,126","476,962","767,172","6,235,432","735,457","1,454,716","0","1,700,100","8,130,125","24,185,473","1,505,917","0","25,691,390",
"2012","74","PALO ALTO","1,620,944","329,715","1,227,656","1,538,917","4,191,246","389,009","1,140,125","0","1,179,444","3,581,630","15,198,686","1,283,252","0","16,481,938",
"2012","11","BUENA VISTA","2,857,957","1,076,669","1,660,237","724,666","4,435,085","673,828","1,389,034","4,757","1,044,070","1,166,552","15,032,855","2,157,718","0","17,190,573",
"2016","6","BENTON","3,843,303","902,115","945,896","1,962,636","7,136,612","687,761","1,599,794","126,478","183,826","1,878,862","19,267,283","3,670,595","0","22,937,878",
"2023","90","WAPELLO","5,685,111","594,779","0","1,298,009","5,889,073","701,237","5,064,337","70,412","487,989","2,379,911","22,170,858","1,322,000","0","23,492,858",
"2024","54","KEOKUK","1,652,447","775,666","0","464,138","7,569,227","484,970","2,957,989","0","200,950","183,878","14,289,265","2,152,950","0","16,442,215",
"2023","21","CLAY","3,782,973","593,566","0","1,457,263","6,903,769","561,080","3,117,207","0","913,552","7,059,211","24,388,621","2,932,014","0","27,320,635",
"2018","72","OSCEOLA","1,600,219","213,853","131,922","1,287,726","3,911,273","310,123","920,385","247,764","578,309","124,564","9,326,138","1,729,022","0","11,055,160",
"2021","87","TAYLOR","1,798,341","1,378,755","168,999","469,263","4,291,102","363,332","815,989","0","962,740","1,127,034","11,375,555","962,162","0","12,337,717",
"2018","99","WRIGHT","2,659,615","2,373,699","818,518","1,006,892","5,572,182","517,857","1,505,703","1,263,399","484,641","6,878,085","23,080,591","2,302,900","0","25,383,491",
"2014","82","SCOTT","27,937,703","5,381,859","7,030,250","4,601,463","4,528,796","2,202,471","9,619,161","295,460","4,385,803","3,717,114","69,700,080","14,093,483","0","83,793,563",
